slug,action,priority,eligibility,official_url,notes
macbook-air-m2,official_research_applied,A,READY_FAMILY_LEVEL,https://support.apple.com/en-us/111867,M2 Air exists as 13-inch (2022) and 15-inch (2023). Confirm size.
macbook-air-m3,official_research_applied,A,READY_FAMILY_LEVEL,https://support.apple.com/en-us/118551,Site slug is chip-family (M3) spanning 13/15 sizes. Use MODEL_FAMILY scope; confirm size from machine.
macbook-air-m4,official_research_applied,A,READY_FAMILY_LEVEL,https://support.apple.com/en-gb/122210,Official 15-inch M4 tech specs page used; 13-inch sibling exists per Apple identify-your-Mac page.
macbook-air-m5,official_research_applied,A,READY_FAMILY_LEVEL,https://support.apple.com/en-us/126321,Official Apple Support + Newsroom 2026-03. Confirm 13 vs 15 size on device.
macbook-pro-14,official_research_applied,A,AMBIGUOUS_MODEL,https://support.apple.com/en-us/108052,14-inch Pro spans multiple Apple silicon generations (M1 Pro/Max through newer). Ambiguous without chip/SKU.
macbook-pro-16,official_research_applied,A,AMBIGUOUS_MODEL,https://support.apple.com/en-us/108052,16-inch Pro spans multiple generations. Ambiguous without chip/SKU.
macbook-pro-m1,official_research_applied,A,READY_FAMILY_LEVEL,https://support.apple.com/en-us/108052,Identity via Apple identify-your-Mac. 13-inch M1 Pro and 14/16 M1 Pro/Max exist — confirm exact machine before numeric claims.
macbook-pro-m2,official_research_applied,A,READY_FAMILY_LEVEL,https://support.apple.com/en-us/108052,Chip family spans multiple sizes. Confirm chip/size before enrichment of exact numeric specs.
macbook-pro-m3,official_research_applied,A,READY_FAMILY_LEVEL,https://support.apple.com/en-us/117735,Chip-family page spanning base M3 / M3 Pro / M3 Max and 14/16 sizes. Confirm chip + size from About This Mac.
macbook-pro-m4,official_research_applied,A,LIMITED_DATA,https://support.apple.com/en-us/108052,Official identify-your-Mac confirms M4 Pro lineage exists; detailed CTO matrix not fully ingested this pass. Defer numeric hardware until Support tech-spec pages are attached per size/chip.
macbook-pro-m5,official_research_applied,A,LIMITED_DATA,https://support.apple.com/en-us/108052,Repository has MacBook Pro M5 page; official Support identify page is the safe identity anchor. Full tech-spec matrix deferred to next research batch.
msi-cyborg-15,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
msi-katana-15,official_research_applied,A,LIMITED_DATA,https://in.msi.com/Laptop/Katana-15-B13UX/Gallery,Official MSI pages confirm Katana 15 as a multi-SKU family (B13U/B14/HX/A15 AI variants). Exact CPU/GPU cannot be collapsed. Regional store SKUs exist but are SKU-specific — not applied as universal family defaults.
msi-raider-18,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
msi-stealth-14,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
msi-stealth-16,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
msi-vector-16-hx,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
samsung-galaxy-book,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
surface-laptop-go,deferred_unverified,C,UNVERIFIED,,No official source captured in this foundation pass
thinkpad-e14-e15,deferred_unverified,A,UNVERIFIED,,No official source captured in this foundation pass
thinkpad-x1-carbon,official_research_applied,A,READY_FAMILY_LEVEL,https://psref.lenovo.com/syspool/Sys/PDF/ThinkPad/ThinkPad_X1_Carbon_Gen_12/ThinkPad_X1_Carbon_Gen_12_Spec.pdf,Multi-generation ThinkPad X1 Carbon family. Gen 12 PSREF used as verified generation sample; do not flatten all gens to one CPU list.
acer-swift,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
acer-travelmate,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
alienware-x16,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
asus-expertbook,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
asus-vivobook,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
asus-zenbook,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
asus-zephyrus,series_official_partial,A,READY_FAMILY_LEVEL,https://rog.asus.com/laptops/rog-zephyrus/,Series identity from repository URL inventory; SKU flattening forbidden.
dell-latitude,series_official_partial,A,LIMITED_DATA,https://www.dell.com/en-us/shop/dell-laptops/scrrel/latitude-laptops,Official Dell Latitude hub confirms series existence; SKU-level PS not ingested this pass.
dell-vostro,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
gigabyte-aorus,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
honor-magicbook,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
hp-elitebook,series_official_partial,A,LIMITED_DATA,https://www.hp.com/us-en/shop/vwa/laptops/EliteBook,Series identity from repository URL inventory; SKU flattening forbidden.
hp-pavilion,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
hp-probook,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
huawei-matebook,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
lenovo-thinkbook,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
lenovo-yoga,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
lg-gram,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
msi-modern,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
razer-blade,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
surface-book,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
surface-laptop,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
surface-pro,series_deferred,B,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
thinkpad-t14,series_deferred,A,UNVERIFIED,,Series identity from repository URL inventory; SKU flattening forbidden.
