slug,URL,brand,match_status,configuration_scope,eligibility,official_url,notes
macbook-air-m4,/รับซื้อโน๊ตบุ๊ค/macbook-air-m4/,Apple,FAMILY_MATCH,MODEL_FAMILY,READY_FAMILY_LEVEL,https://support.apple.com/en-gb/122210,Official 15-inch M4 tech specs page used; 13-inch sibling exists per Apple identify-your-Mac page.
macbook-air-m5,/รับซื้อโน๊ตบุ๊ค/macbook-air-m5/,Apple,FAMILY_MATCH,MODEL_FAMILY,READY_FAMILY_LEVEL,https://support.apple.com/en-us/126321,Official Apple Support + Newsroom 2026-03. Confirm 13 vs 15 size on device.
macbook-pro-14,/รับซื้อโน๊ตบุ๊ค/macbook-pro-14/,Apple,AMBIGUOUS,SERIES,AMBIGUOUS_MODEL,https://support.apple.com/en-us/108052,14-inch Pro spans multiple Apple silicon generations (M1 Pro/Max through newer). Ambiguous without chip/SKU.
macbook-pro-16,/รับซื้อโน๊ตบุ๊ค/macbook-pro-16/,Apple,AMBIGUOUS,SERIES,AMBIGUOUS_MODEL,https://support.apple.com/en-us/108052,16-inch Pro spans multiple generations. Ambiguous without chip/SKU.
macbook-pro-m1,/รับซื้อโน๊ตบุ๊ค/macbook-pro-m1/,Apple,FAMILY_MATCH,MODEL_FAMILY,READY_FAMILY_LEVEL,https://support.apple.com/en-us/108052,Identity via Apple identify-your-Mac. 13-inch M1 Pro and 14/16 M1 Pro/Max exist — confirm exact machine before numeric claims.
macbook-pro-m2,/รับซื้อโน๊ตบุ๊ค/macbook-pro-m2/,Apple,FAMILY_MATCH,MODEL_FAMILY,READY_FAMILY_LEVEL,https://support.apple.com/en-us/108052,Chip family spans multiple sizes. Confirm chip/size before enrichment of exact numeric specs.
macbook-pro-m3,/รับซื้อโน๊ตบุ๊ค/macbook-pro-m3/,Apple,FAMILY_MATCH,MODEL_FAMILY,READY_FAMILY_LEVEL,https://support.apple.com/en-us/117735,Chip-family page spanning base M3 / M3 Pro / M3 Max and 14/16 sizes. Confirm chip + size from About This Mac.
macbook-pro-m4,/รับซื้อโน๊ตบุ๊ค/macbook-pro-m4/,Apple,FAMILY_MATCH,MODEL_FAMILY,LIMITED_DATA,https://support.apple.com/en-us/108052,Official identify-your-Mac confirms M4 Pro lineage exists; detailed CTO matrix not fully ingested this pass. Defer numeric hardware until Support tech-spec pages are attached per size/chip.
macbook-pro-m5,/รับซื้อโน๊ตบุ๊ค/macbook-pro-m5/,Apple,FAMILY_MATCH,MODEL_FAMILY,LIMITED_DATA,https://support.apple.com/en-us/108052,Repository has MacBook Pro M5 page; official Support identify page is the safe identity anchor. Full tech-spec matrix deferred to next research batch.
msi-cyborg-15,/รับซื้อโน๊ตบุ๊ค/msi-cyborg-15/,MSI,NO_OFFICIAL_MATCH,UNKNOWN,UNVERIFIED,,No official manufacturer verification completed in this pass.
msi-katana-15,/รับซื้อโน๊ตบุ๊ค/msi-katana-15/,MSI,FAMILY_MATCH,MODEL_FAMILY,LIMITED_DATA,https://in.msi.com/Laptop/Katana-15-B13UX/Gallery,Official MSI pages confirm Katana 15 as a multi-SKU family (B13U/B14/HX/A15 AI variants). Exact CPU/GPU cannot be collapsed. Regional store SKUs exist but are SKU-specific — not applied as universal family defaults.
msi-raider-18,/รับซื้อโน๊ตบุ๊ค/msi-raider-18/,MSI,NO_OFFICIAL_MATCH,UNKNOWN,UNVERIFIED,,No official manufacturer verification completed in this pass.
msi-stealth-14,/รับซื้อโน๊ตบุ๊ค/msi-stealth-14/,MSI,NO_OFFICIAL_MATCH,UNKNOWN,UNVERIFIED,,No official manufacturer verification completed in this pass.
msi-stealth-16,/รับซื้อโน๊ตบุ๊ค/msi-stealth-16/,MSI,NO_OFFICIAL_MATCH,UNKNOWN,UNVERIFIED,,No official manufacturer verification completed in this pass.
msi-vector-16-hx,/รับซื้อโน๊ตบุ๊ค/msi-vector-16-hx/,MSI,NO_OFFICIAL_MATCH,UNKNOWN,UNVERIFIED,,No official manufacturer verification completed in this pass.
samsung-galaxy-book,/รับซื้อโน๊ตบุ๊ค/samsung-galaxy-book/,Samsung,NO_OFFICIAL_MATCH,UNKNOWN,UNVERIFIED,,No official manufacturer verification completed in this pass.
surface-laptop-go,/รับซื้อโน๊ตบุ๊ค/surface-laptop-go/,Microsoft,NO_OFFICIAL_MATCH,UNKNOWN,UNVERIFIED,,No official manufacturer verification completed in this pass.
thinkpad-e14-e15,/รับซื้อโน๊ตบุ๊ค/thinkpad-e14-e15/,Lenovo,NO_OFFICIAL_MATCH,UNKNOWN,UNVERIFIED,,No official manufacturer verification completed in this pass.
thinkpad-x1-carbon,/รับซื้อโน๊ตบุ๊ค/thinkpad-x1-carbon/,Lenovo,FAMILY_MATCH,SERIES,READY_FAMILY_LEVEL,https://psref.lenovo.com/syspool/Sys/PDF/ThinkPad/ThinkPad_X1_Carbon_Gen_12/ThinkPad_X1_Carbon_Gen_12_Spec.pdf,Multi-generation ThinkPad X1 Carbon family. Gen 12 PSREF used as verified generation sample; do not flatten all gens to one CPU list.
