URL,Type,Source,QA result,Natural language,Intent,Unique value,Local accuracy,Entity accuracy,CTA,Internal links,Notes
/รับซื้อโน๊ตบุ๊ค/gaming/,Brand,src/content/brands/gaming.md,PASS,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊ค Gaming — ประเมินตามสเปก GPU และสภาพจริง/อาการและซีรีส์ที่เกี่ยวข้อง,n/a,accurate,present,present(63),spot-check ok
/รับซื้อโน๊ตบุ๊ค/gigabyte/,Brand,src/content/brands/gigabyte.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(4),spot-check ok
/รับซื้อโน๊ตบุ๊ค/honor/,Brand,src/content/brands/honor.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(4),spot-check ok
/รับซื้อโน๊ตบุ๊ค/hp/,Brand,src/content/brands/hp.md,PASS,natural_thai_ok,clear,has_sections:ภาพรวมของแบรนด์ HP ในตลาดรับซื้อคอมพิวเตอร์มือสอง/ซีรีส์หลักของ HP ที่เราให้บริการรับซื้อ,n/a,accurate,present,present(16),spot-check ok
/รับซื้อโน๊ตบุ๊ค/huawei/,Brand,src/content/brands/huawei.md,PASS,natural_thai_ok,clear,has_sections:ภาพรวมของแบรนด์ Huawei ในตลาดรับซื้อคอมพิวเตอร์มือสอง/ซีรีส์หลักของ Huawei ที่เราให้บริการรับซื้อ,n/a,accurate,present,present(6),spot-check ok
/รับซื้อโน๊ตบุ๊ค/lenovo/,Brand,src/content/brands/lenovo.md,PASS,natural_thai_ok,clear,has_sections:ภาพรวมของแบรนด์ Lenovo ในตลาดรับซื้อคอมพิวเตอร์มือสอง/ซีรีส์หลักของ Lenovo ที่เราให้บริการรับซื้อ,n/a,accurate,present,present(15),spot-check ok
/รับซื้อโน๊ตบุ๊ค/lg/,Brand,src/content/brands/lg.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(4),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook/,Brand,src/content/brands/macbook.md,PASS,natural_thai_ok,clear,has_sections:ภาพรวมของแบรนด์ MacBook ในตลาดรับซื้อคอมพิวเตอร์มือสอง/ซีรีส์หลักของ MacBook ที่เราให้บริการรับซื้อ,n/a,accurate,present,present(19),spot-check ok
/รับซื้อโน๊ตบุ๊ค/msi/,Brand,src/content/brands/msi.md,PASS,natural_thai_ok,clear,has_sections:ภาพรวมของแบรนด์ MSI ในตลาดรับซื้อคอมพิวเตอร์มือสอง/ซีรีส์หลักของ MSI ที่เราให้บริการรับซื้อ,n/a,accurate,present,present(12),spot-check ok
/รับซื้อโน๊ตบุ๊ค/razer/,Brand,src/content/brands/razer.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(4),spot-check ok
/รับซื้อโน๊ตบุ๊ค/samsung/,Brand,src/content/brands/samsung.md,PASS,natural_thai_ok,clear,has_sections:ภาพรวมของแบรนด์ Samsung ในตลาดรับซื้อคอมพิวเตอร์มือสอง/ซีรีส์หลักของ Samsung ที่เราให้บริการรับซื้อ,n/a,accurate,present,present(6),spot-check ok
/รับซื้อโน๊ตบุ๊ค/surface/,Brand,src/content/brands/surface.md,PASS,natural_thai_ok,clear,has_sections:ภาพรวมของแบรนด์ Microsoft Surface ในตลาดรับซื้อคอมพิวเตอร์มือสอง/ซีรีส์หลักของ Microsoft Surface ที่เราให้บริการรับซื้อ,n/a,accurate,present,present(9),spot-check ok
/รับซื้อโน๊ตบุ๊ค/acer-swift/,Series,src/content/brands/acer-swift.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Acer Swift/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(6),spot-check ok
/รับซื้อโน๊ตบุ๊ค/acer-travelmate/,Series,src/content/brands/acer-travelmate.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Acer TravelMate/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(5),spot-check ok
/รับซื้อโน๊ตบุ๊ค/alienware-x16/,Series,src/content/brands/alienware-x16.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/asus-expertbook/,Series,src/content/brands/asus-expertbook.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Asus ExpertBook/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(5),spot-check ok
/รับซื้อโน๊ตบุ๊ค/asus-vivobook/,Series,src/content/brands/asus-vivobook.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Asus Vivobook/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(5),spot-check ok
/รับซื้อโน๊ตบุ๊ค/asus-zenbook/,Series,src/content/brands/asus-zenbook.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Asus Zenbook/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(5),spot-check ok
/รับซื้อโน๊ตบุ๊ค/asus-zephyrus/,Series,src/content/brands/asus-zephyrus.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Asus Zephyrus/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/dell-latitude/,Series,src/content/brands/dell-latitude.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Dell Latitude/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(5),spot-check ok
/รับซื้อโน๊ตบุ๊ค/dell-vostro/,Series,src/content/brands/dell-vostro.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Dell Vostro/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(5),spot-check ok
/รับซื้อโน๊ตบุ๊ค/gigabyte-aorus/,Series,src/content/brands/gigabyte-aorus.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(4),spot-check ok
/รับซื้อโน๊ตบุ๊ค/honor-magicbook/,Series,src/content/brands/honor-magicbook.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/hp-elitebook/,Series,src/content/brands/hp-elitebook.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ HP EliteBook/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(5),spot-check ok
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-slim/,Model,src/content/brands/lenovo-legion-slim.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Lenovo Legion Slim/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(8),spot-check ok
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro/,Model,src/content/brands/lenovo-legion-pro.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Lenovo Legion Pro/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(8),spot-check ok
/รับซื้อโน๊ตบุ๊ค/thinkpad-x1-carbon/,Model,src/content/brands/thinkpad-x1-carbon.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น ThinkPad X1 Carbon ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น ThinkPad X1 Carbon,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/thinkpad-e14-e15/,Model,src/content/brands/thinkpad-e14-e15.md,PASS,natural_thai_ok,clear,has_sections:จุดเด่นและการตอบโจทย์การใช้งานของซีรีส์ Lenovo ThinkPad E14 / E15/รุ่นย่อยและสเปกยอดนิยมในตลาดรับซื้อ,n/a,accurate,present,present(5),spot-check ok
/รับซื้อโน๊ตบุ๊ค/asus-rog-strix/,Model,src/content/brands/asus-rog-strix.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น Asus ROG Strix ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น Asus ROG Strix,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/lenovo-loq-15-16/,Model,src/content/brands/lenovo-loq-15-16.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น Lenovo LOQ 15 / 16 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น Lenovo LOQ 15 / 16,n/a,accurate,present,present(8),spot-check ok
/รับซื้อโน๊ตบุ๊ค/asus-tuf-a15-f15/,Model,src/content/brands/asus-tuf-a15-f15.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น Asus TUF A15 / F15 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น Asus TUF A15 / F15,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook-pro-m1/,Model,src/content/brands/macbook-pro-m1.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น MacBook Pro M1 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น MacBook Pro M1,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook-pro-m2/,Model,src/content/brands/macbook-pro-m2.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น MacBook Pro M2 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น MacBook Pro M2,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook-air-m2/,Model,src/content/brands/macbook-air-m2.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น MacBook Air M2 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น MacBook Air M2,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook-air-m1/,Model,src/content/brands/macbook-air-m1.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น MacBook Air M1 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น MacBook Air M1,n/a,accurate,present,present(6),spot-check ok
/รับซื้อโน๊ตบุ๊ค/acer-nitro-v/,Model,src/content/brands/acer-nitro-v.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น Acer Nitro V ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น Acer Nitro V,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook-pro-m3/,Model,src/content/brands/macbook-pro-m3.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น MacBook Pro M3 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น MacBook Pro M3,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/acer-nitro-16/,Model,src/content/brands/acer-nitro-16.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น Acer Nitro 16 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น Acer Nitro 16,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook-pro-m4/,Model,src/content/brands/macbook-pro-m4.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น MacBook Pro M4 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น MacBook Pro M4,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/hp-victus-16/,Model,src/content/brands/hp-victus-16.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น HP Victus 16 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น HP Victus 16,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/acer-predator-neo/,Model,src/content/brands/acer-predator-neo.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น Acer Predator Helios Neo ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น Acer Predator Helios Neo,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/hp-victus-15/,Model,src/content/brands/hp-victus-15.md,PASS,natural_thai_ok,clear,has_sections:ข้อมูลสเปกหลักของรุ่น HP Victus 15 ที่มีผลต่อราคาประเมิน/จุดที่ควรตรวจสอบเฉพาะรุ่น HP Victus 15,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-5/,Model,src/content/brands/lenovo-legion-5.md,PASS,natural_thai_ok,clear,has_sections:เกณฑ์ในการประเมินราคา Lenovo Legion 5 มือสอง/จุดที่ควรตรวจเพิ่มเติมและส่งรูปในไลน์ @webuy,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook-pro-m5/,Model,src/content/brands/macbook-pro-m5.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/asus-rog-flow/,Model,src/content/brands/asus-rog-flow.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/hp-omen-transcend/,Model,src/content/brands/hp-omen-transcend.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/เครื่องเสีย/,Condition,src/content/conditions/เครื่องเสีย.md,PASS,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คเสีย ประเมินราคาตามสภาพชิ้นส่วนและสเปกจริง/ข้อมูลและรูปถ่ายที่ผู้ขายควรเตรียมเพื่อส่งประเมินราคา,n/a,accurate,present,present(13),spot-check ok
/รับซื้อโน๊ตบุ๊ค/ร้อนจัดดับเอง/,Condition,src/content/conditions/ร้อนจัดดับเอง.md,PASS,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คร้อนจัดพัดลมดัง ประเมินราคาตามสเปกและระดับความร้อนจริง/ข้อมูลและรูปถ่ายที่ผู้ขายควรเตรียมส่งทาง LINE,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/ไม่มีที่ชาร์จ/,Condition,src/content/conditions/ไม่มีที่ชาร์จ.md,PASS,natural_thai_ok,clear,has_sections:ไม่มีที่ชาร์จก็ขายได้ ประเมินราคาตามรุ่นและประเภทพอร์ตชาร์จจริง/ข้อมูลที่ควรส่งใน LINE @webuy เพื่อความรวดเร็วในการประเมินราคา,n/a,accurate,present,present(4),spot-check ok
/รับซื้อโน๊ตบุ๊ค/เปิดไม่ติด/,Condition,src/content/conditions/เปิดไม่ติด.md,PASS,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คเปิดไม่ติด ประเมินราคาตามรุ่นและสเปกจริง/ข้อมูลและหลักฐานที่จำเป็นในการประเมินราคา,n/a,accurate,present,present(7),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook-battery-health/,Condition,src/content/conditions/macbook-battery-health.md,PASS,natural_thai_ok,clear,has_sections:รับซื้อ MacBook ที่มีสุขภาพแบตเตอรี่ต่ำ ประเมินราคาประเมินอ้างอิงอิงตามความจุจริง/ข้อมูลที่ผู้ขายควรตรวจสอบและส่งประกอบการประเมินราคา,n/a,accurate,present,present(4),spot-check ok
/รับซื้อโน๊ตบุ๊ค/แบตเสื่อม/,Condition,src/content/conditions/แบตเสื่อม.md,PASS,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คแบตเสื่อม ประเมินราคาประเมินอ้างอิงตามสภาพชิ้นส่วนจริง/ข้อมูลและหลักฐานที่ควรส่งเพื่อประเมินราคา,n/a,accurate,present,present(4),spot-check ok
/รับซื้อโน๊ตบุ๊ค/จอแตก/,Condition,src/content/conditions/จอแตก.md,PASS,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คจอแตก ประเมินราคาจากสเปกและส่วนประกอบที่เหลือ/ข้อมูลที่ควรส่งใน LINE @webuy เพื่อประเมินราคา,n/a,accurate,present,present(6),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook-mdm/,Condition,src/content/conditions/macbook-mdm.md,PASS,natural_thai_ok,clear,has_sections:ทำความเข้าใจเกี่ยวกับระบบ MDM (Mobile Device Management) บน MacBook/การยืนยันสิทธิ์และการตรวจสอบที่มาของอุปกรณ์,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/ลำโพงเสีย/,Condition,src/content/conditions/ลำโพงเสีย.md,PASS,natural_thai_ok,clear,has_sections:ลำโพงเสียคืออาการแบบไหน/รับซื้อได้ไหมถ้าลำโพงเสีย,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/พอร์ต-usb-เสีย/,Condition,src/content/conditions/พอร์ต-usb-เสีย.md,PASS,natural_thai_ok,clear,has_sections:พอร์ต USB เสียคืออะไร/มักรับซื้อได้ไหม,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/กล้องเสีย/,Condition,src/content/conditions/กล้องเสีย.md,PASS,natural_thai_ok,clear,has_sections:กล้องเสียหมายถึงอะไร/รับซื้อเครื่องกล้องเสียได้ไหม,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/ตกรุ่น/,Condition,src/content/conditions/ตกรุ่น.md,PASS,natural_thai_ok,clear,has_sections:“ตกรุ่น” ในมุมรับซื้อหมายถึงอะไร/ยังรับซื้อไหม,n/a,accurate,present,present(4),spot-check ok
/รับซื้อโน๊ตบุ๊ค/macbook-no-box-no-receipt/,Condition,src/content/conditions/macbook-no-box-no-receipt.md,PASS,natural_thai_ok,clear,has_sections:แนวทางการรับซื้อและประเมินราคา/ลิงก์และบทความที่เกี่ยวข้อง,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/hdmi-เสีย/,Condition,src/content/conditions/hdmi-เสีย.md,PASS,natural_thai_ok,clear,has_sections:HDMI เสียคืออาการแบบไหน/รับซื้อได้ไหม,n/a,accurate,present,present(4),spot-check ok
/รับซื้อโน๊ตบุ๊ค/ช่องหูฟังเสีย/,Condition,src/content/conditions/ช่องหูฟังเสีย.md,PASS,natural_thai_ok,clear,has_sections:อาการช่องหูฟังเสีย/รับซื้อได้เป็นเงื่อนไขไหม,n/a,accurate,present,present(2),spot-check ok
/รับซื้อโน๊ตบุ๊ค/พัดลมดัง/,Condition,src/content/conditions/พัดลมดัง.md,PASS,natural_thai_ok,clear,has_sections:พัดลมดังผิดปกติคืออะไร/รับซื้อได้ไหม,n/a,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/กรุงเทพ/,Province,src/content/locations/กรุงเทพ.md,PASS,natural_thai_ok,clear,has_sections:บริการรับซื้อโน๊ตบุ๊คสำหรับลูกค้าในกรุงเทพ/หน้าร้านอยู่ที่ไหน,accurate,accurate,present,present(6),spot-check ok
/รับซื้อโน๊ตบุ๊ค/อุบลราชธานี/,Province,src/content/locations/อุบลราชธานี.md,PASS,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คอุบลราชธานี/เข้าตรวจที่หน้าร้าน,accurate,accurate,present,present(3),spot-check ok
/รับซื้อโน๊ตบุ๊ค/ขอนแก่น/,Province,src/content/locations/ขอนแก่น.md,PASS_WITH_WARNING,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คขอนแก่น/ขอบเขตบริการในพื้นที่นี้,accurate,accurate,present,present(2),gate:missing_storefront_clarity
/รับซื้อโน๊ตบุ๊ค/เชียงใหม่/,Province,src/content/locations/เชียงใหม่.md,PASS_WITH_WARNING,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คเชียงใหม่/สาขาหรือแค่พื้นที่บริการ,accurate,accurate,present,present(6),gate:missing_storefront_clarity
/รับซื้อโน๊ตบุ๊ค/ชลบุรี/,Province,src/content/locations/ชลบุรี.md,PASS_WITH_WARNING,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คชลบุรี/หน้าร้านอยู่ที่ไหน,accurate,accurate,present,present(4),gate:missing_storefront_clarity
/รับซื้อโน๊ตบุ๊ค/นครราชสีมา/,Province,src/content/locations/นครราชสีมา.md,PASS_WITH_WARNING,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คนครราชสีมา/ขอบเขตบริการในพื้นที่นี้,accurate,accurate,present,present(2),gate:missing_storefront_clarity
/รับซื้อโน๊ตบุ๊ค/ภูเก็ต/,Province,src/content/locations/ภูเก็ต.md,PASS_WITH_WARNING,natural_thai_ok,clear,has_sections:บริการรับซื้อโน๊ตบุ๊คสำหรับลูกค้าในภูเก็ต/หน้าร้านอยู่ที่ไหน,accurate,accurate,present,weak,internal_links_weak
/รับซื้อโน๊ตบุ๊ค/หาดใหญ่/,Province,src/content/locations/หาดใหญ่.md,PASS_WITH_WARNING,natural_thai_ok,clear,has_sections:ขายโน๊ตบุ๊คในหาดใหญ่ — เริ่มจากประเมินออนไลน์/ขอบเขตบริการในพื้นที่นี้,accurate,accurate,present,present(1),gate:missing_storefront_clarity
/รับซื้อโน๊ตบุ๊ค/สงขลา/,Province,src/content/locations/สงขลา.md,PASS,natural_thai_ok,clear,has_sections:บริการรับซื้อโน๊ตบุ๊คสำหรับลูกค้าในสงขลา/สาขาหรือแค่พื้นที่บริการ,accurate,accurate,present,present(5),spot-check ok
/รับซื้อโน๊ตบุ๊ค/นนทบุรี/,Province,src/content/locations/นนทบุรี.md,PASS_WITH_WARNING,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คนนทบุรี/สาขาหรือแค่พื้นที่บริการ,accurate,accurate,present,present(1),gate:missing_storefront_clarity
/รับซื้อโน๊ตบุ๊ค/ปทุมธานี/,Province,src/content/locations/ปทุมธานี.md,PASS_WITH_WARNING,natural_thai_ok,clear,has_sections:รับซื้อโน๊ตบุ๊คปทุมธานี/สาขาหรือแค่พื้นที่บริการ,accurate,accurate,present,present(3),gate:missing_storefront_clarity
